Gr_Liv_Area,Overall_Qual,Year_Built,Neighborhood,Sale_Price,Overall_Qual_Numeric,Log_Sale_Price
1656.0,Above_Average,1960.0,North_Ames,215000.0,6,12.278397958261774
896.0,Average,1961.0,North_Ames,105000.0,5,11.561725152903833
1329.0,Above_Average,1958.0,North_Ames,172000.0,6,12.055255569732177
2110.0,Good,1968.0,North_Ames,244000.0,7,12.404927602627597
1629.0,Average,1997.0,Gilbert,189900.0,5,12.15425816271595
1604.0,Above_Average,1998.0,Gilbert,195500.0,6,12.18332077348399
1338.0,Very_Good,2001.0,Stone_Brook,213500.0,8,12.271396795480596
1280.0,Very_Good,1992.0,Stone_Brook,191500.0,8,12.162648309521318
1616.0,Very_Good,1995.0,Stone_Brook,236500.0,8,12.373707715234994
1804.0,Good,1999.0,Gilbert,189000.0,7,12.149507585033072
1655.0,Above_Average,1993.0,Gilbert,175900.0,6,12.077676615757813
1187.0,Above_Average,1992.0,Gilbert,185000.0,6,12.128116509451258
1465.0,Above_Average,1998.0,Gilbert,180400.0,6,12.102937429832547
1341.0,Good,1990.0,Gilbert,171500.0,7,12.052344376474922
1502.0,Very_Good,1985.0,Stone_Brook,212000.0,8,12.264346270624157
3279.0,Very_Good,2003.0,Stone_Brook,538000.0,8,13.195615697878253
1752.0,Very_Good,1988.0,Gilbert,164000.0,8,12.00762780434872
1856.0,Excellent,2010.0,Stone_Brook,394432.0,9,12.885204569609956
864.0,Below_Average,1951.0,Gilbert,141000.0,4,11.856522261533737
2073.0,Above_Average,1978.0,Northwest_Ames,210000.0,6,12.25486757159303
1844.0,Above_Average,1977.0,Northwest_Ames,190000.0,6,12.154784614286667
1173.0,Good,1974.0,Northwest_Ames,170000.0,7,12.04355959836804
1674.0,Good,2000.0,Somerset,216000.0,7,12.283038316285214
1004.0,Above_Average,1970.0,North_Ames,149000.0,6,11.91170829631447
1078.0,Average,1971.0,North_Ames,149900.0,5,11.917730355182513
1056.0,Average,1968.0,North_Ames,142000.0,5,11.863589378812122
882.0,Below_Average,1970.0,North_Ames,126000.0,4,11.744045122410057
864.0,Below_Average,1971.0,North_Ames,115000.0,4,11.652696102959753
1337.0,Good,1999.0,North_Ames,184000.0,7,12.122696471358964
987.0,Above_Average,1971.0,Briardale,96000.0,6,11.472113887062386
1092.0,Average,1971.0,Briardale,105500.0,5,11.566475710526321
1092.0,Above_Average,1971.0,Briardale,88000.0,6,11.385103457032141
1069.0,Above_Average,1977.0,Northpark_Villa,127500.0,6,11.755879486687116
